"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8"
"1","babi","love","time","eye","ill","fire","sleep","sing"
"2","friend","fall","play","hold","your","burn","ill","live"
"3","day","ive","girl","lie","heart","insid","life","write"
"4","heart","home","bag","tonight","mind","home","dream","call"
"5","told","lover","damn","rain","forev","soul","live","sell"
"6","leav","mmi","diggiti","feel","lay","watch","chang","song"
"7","stay","night","start","life","word","hold","fade","aim"
"8","cold","kiss","low","cri","miss","eye","sit","peopl"
"9","babe","darl","danc","catch","break","call","listen","music"
"10","shes","light","oho","pain","youll","flame","hit","tune"
"11","wait","hair","shes","feet","darl","mountain","friend","night"
"12","road","time","talk","breath","mine","rememb","didnt","day"
"13","week","found","car","lip","time","die","song","didnt"
"14","late","beat","pop","tight","stop","broken","wrong","think"
"15","disappear","arm","tag","fli","left","kick","suppo","break"
"16","true","sing","gon","drown","hurt","blood","bring","paper"
"17","left","learn","mind","mouth","lost","close","stay","read"
"18","guess","hope","freak","close","top","peopl","star","sofa"
"19","nina","lumier","cloth","cold","smile","wait","written","fast"
"20","money","head","bodi","star","world","scar","forget","fake"
